report_id,report_type,report_chapter,report_page,report_title,stage,data_source,source_year,unit,population_definition,current_web_component,current_data_file,proposed_web_role,proposed_chart_type,proposed_interactions,proposed_filters,priority,status,caveat,download_file,notes
FIG505,figure,5,TBD (needs final formatted report page numbers),Who Wins Science's Top Prizes?,research-output,"Nobel Prize Outreach, ""All Nobel Prizes,"" and ACM, ""A.M. Turing Award Winners.""",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG505*.csv,supporting_visual,rolling-average line + immigrant/born-citizen breakdown,,,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Prizes and laureates"" module."
FIG506,figure,5,TBD (needs final formatted report page numbers),Who Are America's Nobel Laureates?,research-output,"Nobel Prize Outreach, ""All Nobel Prizes,"" and ACM, ""A.M. Turing Award Winners.""",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG506*.csv,integrated_into_other_visual,"same module, born-citizen split",,,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG507,figure,5,TBD (needs final formatted report page numbers),Where Did Immigrant Nobel Laureates Come From?,research-output,"Nobel Prize Outreach, ""All Nobel Prizes,"" and ACM, ""A.M. Turing Award Winners.""",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG507*.csv,integrated_into_other_visual,origin ranked bar,,,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG508,figure,5,TBD (needs final formatted report page numbers),Who Spends the Most on R&D?,research-output,"OECD, Main Science and Technology Indicators; NSB, Cross-National Comparisons of R&D Performance, Science and Engineering Indicators 2024.",2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG508*.csv,integrated_into_other_visual,feeds the metric-switcher hero (R&D spending),,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG509,figure,5,TBD (needs final formatted report page numbers),How Intensely Does Each Country Invest in R&D?,research-output,"Georgakaki et al., EU Industrial R&D Investment Scoreboard, 2003–2024.",2003–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG509*.csv,integrated_into_other_visual,feeds the metric-switcher hero (R&D intensity),,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"6-8 country lines today — becomes one metric view in the switcher, not a standalone crowded chart."
FIG510,figure,5,TBD (needs final formatted report page numbers),Is R&D Spending Aimed at Today or Tomorrow?,research-output,"OECD, Main Science and Technology Indicators; NSB, Cross-National Comparisons of R&D Performance, Science and Engineering Indicators 2024.",2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG510*.csv,supporting_visual,"grouped bar / slope, basic vs applied vs experimental",US/China toggle,,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""R&D today vs tomorrow"" module."
FIG511,figure,5,TBD (needs final formatted report page numbers),Who Performs R&D in the United States and China?,research-output,"OECD, Main Science and Technology Indicators (GERD, PPP), OECD.Stat, 1991–2024.",1991–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG511*.csv,supporting_visual,normalized + absolute view by performer sector,sector filter,sector,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""R&D by performer"" module."
FIG512,figure,5,TBD (needs final formatted report page numbers),How Often Is Frontier AI Research Cited?,research-output,"OpenAlex (Priem, Piwowar, and Orr).",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG512*.csv,supporting_visual,"company/country distribution chart (box-plot-shaped, not a single bar)",country/company filter,"country, company",P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Company research impact"" module — today's generic ranked-bar throws away 8 of 9 real numeric columns (mean/std/min/quartiles/skew/kurtosis). Needs a real bespoke chart, not the fallback."
FIG513,figure,5,TBD (needs final formatted report page numbers),How Strong Is Each Company's Research Impact?,research-output,"OpenAlex (Priem, Piwowar, and Orr).",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG513*.csv,integrated_into_other_visual,feeds the metric-switcher hero (company research impact),,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
TAB501,table,5,TBD (needs final formatted report page numbers),When Did China Catch Up at Each AI Conference?,research-output,"Paper Copilot, conference acceptance and submission statistics; author's compilation.",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/TAB501*.csv,supporting_visual,conference small multiples or crossing timeline,field filter,"field, conference",P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""AI conference catch-up"" — REPLACES the currently-broken generic fallback (""colt/colt"", ""corl/corl"" labels — see UX audit). Real bug fix, not polish."
TAB502,table,5,TBD (needs final formatted report page numbers),How Many U.S. Universities Rank in the Global Top 100?,research-output,"Times Higher Education, World University Rankings by Subject, 2011–2026.",2011–2026,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/TAB502*.csv,supporting_visual,"field selector, source-specific ranking caveat",field filter,field,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""University rankings"" module."
TAB503,table,5,TBD (needs final formatted report page numbers),Is R&D Spending Aimed at Today or Tomorrow?,research-output,"OECD, Main Science and Technology Indicators; NSB, Cross-National Comparisons of R&D Performance, Science and Engineering Indicators 2024.",2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),none,(none - see caveat),supporting_visual,TBD - blocked on data,,,P1,not_yet_ported,duplicates FIG510's data as a table view; not yet backfilled,TBD (Phase 9.5 — CSV per chart not yet built), BLOCKED: duplicates FIG510's data as a table view; not yet backfilled
TAB504,table,5,TBD (needs final formatted report page numbers),How Do the U.S. and China Divide R&D Across Sectors?,research-output,"OECD, Main Science and Technology Indicators (GERD, PPP), OECD.Stat, 1991–2024.",1991–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),none,(none - see caveat),supporting_visual,TBD - blocked on data,,,P1,not_yet_ported,duplicates FIG511's data as a table view; not yet backfilled,TBD (Phase 9.5 — CSV per chart not yet built), BLOCKED: duplicates FIG511's data as a table view; not yet backfilled
TAB505,table,5,TBD (needs final formatted report page numbers),Who Patents in Critical Technologies?,research-output,"World Intellectual Property Organization, ""Patents Granted by Technology,"" WIPO IP Statistics Data Center, 2024.",2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/TAB505*.csv,supporting_visual,tabbed explorer: biotech/semiconductors/computer tech,tech-area tabs; country highlight,country,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Critical technology patents"" module — TAB505's 3 real parts ARE the tabs (today: 3 separate 6-country line panels)."
TAB506,table,5,TBD (needs final formatted report page numbers),"Which Companies Lead in U.S. Patents, and How Has That Shifted?",research-output,"IPO Association (2005, 2015), Harrity & Harrity ""Patent 300"" (2025), and USPTO PatentsView.",2005,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/TAB506*.csv,integrated_into_other_visual,feeds the metric-switcher hero (patents) as a bump/race view,"2005/2015/2025 toggle, not autoplay",,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"Also needs its own ""Patent leadership over time"" supporting module — see below."
FIG601,figure,6,TBD (needs final formatted report page numbers),Do International PhD Recipients Plan to Stay in the United States?,retention-immigration,"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG601*.csv,integrated_into_other_visual,"context line above the Sankey hero, explicit different-population caveat",,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Stay intentions vs observed stay"" — must NOT be chained into the Sankey as one flow (real risk already avoided in the current build's caption)."
FIG602,figure,6,TBD (needs final formatted report page numbers),Do International STEM PhDs Stay in the United States?,retention-immigration,"NCSES, ""Foreign-Born STEM Workers,"" Science and Engineering Indicators 2024; Finn, Stay Rates of Foreign Doctorate Recipients, 2011.",2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG602*.csv,stage_hero,Sankey (already built — Two Streams/Retention Gap treatment),hover/pin; particles OFF by default per 6.1,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""The Retention Gap"" hero — already real and working; needs the particles-default flip and a field toggle where the source supports it."
FIG603,figure,6,TBD (needs final formatted report page numbers),How Fast Has STEM OPT Grown?,retention-immigration,"USCIS, Form I-765 Application for Employment Authorization, FY2003–2023.",2003–2023,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG603*.csv,supporting_visual,small multiples: received/approved/denied/rate,count/rate tab,,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""STEM OPT"" module — count and rate must not share an axis (7.5 acceptance criteria; today's FIG603 line chart puts a 0-1 rate and 5-digit counts on one axis)."
FIG604,figure,6,TBD (needs final formatted report page numbers),How Many H-1B Visas Are Approved Each Year?,retention-immigration,"USCIS, H-1B Employer Data Hub, 2009–2026.",2009–2026,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG604*.csv,supporting_visual,"policy timeline, new vs renewal split",,,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""H-1B approvals and denials"" module."
FIG605,figure,6,TBD (needs final formatted report page numbers),When Did H-1B Denials Spike?,retention-immigration,"USCIS, H-1B Employer Data Hub, 2009–2026",2009–2026,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG605*.csv,integrated_into_other_visual,"same timeline, denials overlay",,,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG606,figure,6,TBD (needs final formatted report page numbers),What Happens to PERM Labor Certifications?,retention-immigration,"U.S. Department of Labor, Foreign Labor Certification Performance Data, 2008–2025.",2008–2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG606*.csv,supporting_visual,flow / stacked outcome view,"year, nationality filter where available",nationality,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""PERM outcomes"" module."
FIG607,figure,6,TBD (needs final formatted report page numbers),How Far Has China's Share of J-1 Scholars Fallen?,retention-immigration,"U.S. Department of State, ""Facts and Figures,"" BridgeUSA, 2024.",2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG607*.csv,supporting_visual,focus mode + country selector,country filter,country,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""J-1 scholars"" — replace default-all-11-lines with focus mode."
FIG608,figure,6,TBD (needs final formatted report page numbers),Do Immigrants Work at Higher Rates Than the Native-Born?,retention-immigration,"OECD, International Migration Outlook 2025, 90.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),WorldMap,talent_charts/data/FIG608*.csv,supporting_visual,map + ranked comparison,,,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Immigrant employment rates"" module."
FIG609,figure,6,TBD (needs final formatted report page numbers),How Much STEM Talent Does the U.S. Train and Then Lose?,retention-immigration,"NCSES, ten-year stay rates of U.S.-trained doctorate recipients (2012–14 cohorts); author's calculation.",2012–14,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG609*.csv,supporting_visual,ranked field view,,field,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Train and lose"" module."
TAB601,table,6,TBD (needs final formatted report page numbers),Do Stay Intentions Differ by Region of Origin?,retention-immigration,"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/TAB601*.csv,supporting_visual,region-of-origin comparison,,region,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Do stay intentions differ by region of origin."""
TAB602,table,6,TBD (needs final formatted report page numbers),"What Do New STEM PhDs Plan to Do After Graduation, by Field?",retention-immigration,"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/TAB602*.csv,supporting_visual,field-share plan-after-graduation view,field filter,field,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
TAB603,table,6,TBD (needs final formatted report page numbers),How Do the Career Paths of International and U.S. PhDs Differ?,retention-immigration,"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),none,(none - see caveat),supporting_visual,TBD - blocked on data,,,P1,not_yet_ported,"computed inline in report R pipeline from other tables, no standalone source",TBD (Phase 9.5 — CSV per chart not yet built)," BLOCKED: computed inline in report R pipeline from other tables, no standalone source"
TAB604,table,6,TBD (needs final formatted report page numbers),How Many PERM Certifications Go Unused?,retention-immigration,"U.S. Department of Labor, Foreign Labor Certification Performance Data, 2008–2025.",2008–2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/TAB604*.csv,supporting_visual,ranked bar: used/expired/share expired/change,,,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Unused PERM certifications"" — today's panel repeats ""India"" as every row label with no year/status distinction visible; real fix, not cosmetic."
TAB605,table,6,TBD (needs final formatted report page numbers),"How Long Are Employment-Based Green Card Waits, by Nationality?",retention-immigration,"U.S. Department of State, Visa Bulletin, 2002–2026.",2002–2026,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),none,(none - see caveat),supporting_visual,country x category (EB-1/2/3) selector,"country, category filter","country, visa category",P0,not_yet_ported,"green-card wait-time explorer data (Visa Bulletin cutoffs) - real gap, needs a real source pull, not yet backfilled",TBD (Phase 9.5 — CSV per chart not yet built),"""Green card wait explorer"" module — BLOCKED: this exhibit is not yet backfilled (see SKIPPED). Real Phase-1 gap, highest priority to close before this module can ship. BLOCKED: green-card wait-time explorer data (Visa Bulletin cutoffs) - real gap, needs a real source pull, not yet backfilled"
AF01,figure,,TBD (needs final formatted report page numbers),Does the NeurIPS Pattern Hold Across AI Conferences?,(not staged - cut from final report),"Paper Copilot, conference acceptance and submission statistics; author's compilation.",TBD (not machine-extractable from citation text),n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF02,figure,,TBD (needs final formatted report page numbers),U.S. Universities in Global STEM Rankings,(not staged - cut from final report),"Times Higher Education, World University Rankings by Subject, 2011–2026.",2011–2026,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF03,figure,,TBD (needs final formatted report page numbers),How Often Is Frontier AI Research Cited?,(not staged - cut from final report),"OpenAlex (Priem, Piwowar, and Orr).",TBD (not machine-extractable from citation text),n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF04,figure,,TBD (needs final formatted report page numbers),How Strong Is Each Company's Research Impact?,(not staged - cut from final report),"OpenAlex (Priem, Piwowar, and Orr).",TBD (not machine-extractable from citation text),n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF05,figure,,TBD (needs final formatted report page numbers),Research Productivity and Impact by Company (h-index),(not staged - cut from final report),"OpenAlex (Priem, Piwowar, and Orr).",TBD (not machine-extractable from citation text),n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF06,figure,,TBD (needs final formatted report page numbers),Reasonably Cited Works by Company (i10-index),(not staged - cut from final report),"OpenAlex (Priem, Piwowar, and Orr).",TBD (not machine-extractable from citation text),n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF07,figure,,TBD (needs final formatted report page numbers),Who Patents in Biotechnology?,(not staged - cut from final report),"World Intellectual Property Organization, ""Patents Granted by Technology,"" WIPO IP Statistics Data Center, 2024.",2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF08,figure,,TBD (needs final formatted report page numbers),Who Patents in Semiconductors?,(not staged - cut from final report),"World Intellectual Property Organization, ""Patents Granted by Technology,"" WIPO IP Statistics Data Center, 2024.",2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF09,figure,,TBD (needs final formatted report page numbers),Who Patents in Computer Technology?,(not staged - cut from final report),"World Intellectual Property Organization, ""Patents Granted by Technology,"" WIPO IP Statistics Data Center, 2024.",2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF10,figure,,TBD (needs final formatted report page numbers),Who Makes the World's Goods?,(not staged - cut from final report),"World Bank, World Development Indicators, 2025.",2025,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF11,figure,,TBD (needs final formatted report page numbers),How Much Research Do Frontier AI Companies Publish?,(not staged - cut from final report),"OpenAlex (Priem, Piwowar, and Orr).",TBD (not machine-extractable from citation text),n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF12,figure,,TBD (needs final formatted report page numbers),Research Doctorates Awarded by Field,(not staged - cut from final report),"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF13,figure,,TBD (needs final formatted report page numbers),Who Earns Degrees at U.S. Universities?,(not staged - cut from final report),"NCES, IPEDS Completions, 1995–2024.",1995–2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF14,figure,,TBD (needs final formatted report page numbers),International Students in U.S. STEM Programs,(not staged - cut from final report),"IIE, ""International Student Enrollment Trends,"" Open Doors, 2025.",2025,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF15,figure,,TBD (needs final formatted report page numbers),Where International Students in the United States Come From,(not staged - cut from final report),"IIE, ""International Student Totals by Place of Origin,"" Open Doors, 2025.",2025,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF16,figure,,TBD (needs final formatted report page numbers),Who Enrolls in U.S. Science Graduate Programs?,(not staged - cut from final report),"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF17,figure,,TBD (needs final formatted report page numbers),Who Enrolls in U.S. Engineering Graduate Programs?,(not staged - cut from final report),"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF18,figure,,TBD (needs final formatted report page numbers),Who Enrolls in U.S. Health Graduate Programs?,(not staged - cut from final report),"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF19,figure,,TBD (needs final formatted report page numbers),U.S. Citizen STEM PhD Recipients by Field,(not staged - cut from final report),"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF20,figure,,TBD (needs final formatted report page numbers),International STEM PhD Recipients by Field,(not staged - cut from final report),"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF21,figure,,TBD (needs final formatted report page numbers),International Scholars Working in the United States,(not staged - cut from final report),"IIE, ""International Scholars Trends,"" Open Doors, 2025.",2025,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF22,figure,,TBD (needs final formatted report page numbers),Where International Scholars Come From,(not staged - cut from final report),"IIE, ""International Scholars Total by Places of Origin,"" Open Doors, 2025.",2025,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF23,figure,,TBD (needs final formatted report page numbers),Fields of Specialization of International Scholars,(not staged - cut from final report),"IIE, ""Major Field of Specialization of International Scholars,"" Open Doors, 2025.",2025,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF24,figure,,TBD (needs final formatted report page numbers),Who Works in the U.S. STEM Labor Force?,(not staged - cut from final report),"NCSES, National Training, Education, and Workforce Survey (NTEWS) Pilot, 2022.",2022,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF25,figure,,TBD (needs final formatted report page numbers),Temporary Visa Holders Across STEM Occupations,(not staged - cut from final report),"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF26,figure,,TBD (needs final formatted report page numbers),How Many of U.S.-Born STEM Graduates End Up Working in STEM?,(not staged - cut from final report),"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF27,figure,,TBD (needs final formatted report page numbers),How Many of Foreign-Born STEM Graduates End Up Working in STEM?,(not staged - cut from final report),"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF28,figure,,TBD (needs final formatted report page numbers),Which STEM Graduates Work in STEM Occupations?,(not staged - cut from final report),"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
AF29,figure,,TBD (needs final formatted report page numbers),How Much of Its Economy Does Each Country Commit to R&D?,(not staged - cut from final report),"OECD, Main Science and Technology Indicators; NSB, Cross-National Comparisons of R&D Performance, Science and Engineering Indicators 2024.",2024,n/a (excluded),n/a (excluded),none,(none - archived),exclude_with_reason,,,,P3,archived_not_imported,Excluded by the report's own authors before this became the final manuscript.,n/a (excluded),"Cut from the report's own final version — real data, not currently imported or rendered. Candidate for a future 'extended data' section, not part of this overhaul's scope."
